GENE,MYC.cn,MYC,MYC.gep.median.centered,,PIK3CA.cn,PIK3CA.gep,PIK3CA.gep.median.centered,EIF4G1.cn,EIF4G1.gep,EIF4G1.gep.median.centered,ATR.cn,ATR.gep,ATR.gep.median.centered,CPSF1.cn,CPSF1.gep,CPSF1.gep.median.centered,TOPBP1.cn,TOPBP1.gep,TOPBP1.gep.median.centered,CCNE2.cn,CCNE2.gep,CCNE2.gep.median.centered,SKIL.cn,SKIL.gep,SKIL.gep.median.centered,RUVBL1.cn,RUVBL1.gep,TFDP2.cn,TFDP2.gep,TFDP2.gep.median.centered,PAK2.cn,PAK2.gep,PAK2.gep.median.centered,ISY1.cn,ISY1.gep,PUF60.cn,PUF60.gep,DVL3.cn,DVL3.gep,DVL3.gep.median.centered,PDCD10.cn,PDCD10.gep,SERPINI1.cn,SERPINI1.gep
HUMC5,0,2.888672,0.248672,0.240952,0,3.850439,0.435218,0,4.801391,-0.518905,0,4.432398868,0.200208868,0,3.621401,-0.445582,0,3.89611,-0.247343,0,0.314828356,-0.247735644,0,4.407546,-0.46918,0,1.89229,0,3.349011,-0.550817,0,4.602407,0.052969,0,1.279468,0,2.394704,0,3.735315,-0.463148,0,2.343211,0,1.153978
HUMC6,1,1.548868,-1.091132,-1.098852,0,3.218424,-0.196797,0,4.959849,-0.360447,0,4.230621042,-0.001568958,1,4.712881,0.645898,0,4.211144,0.067691,0,0.968381306,0.405817306,0,4.95107,0.074344,0,2.086633,0,3.815404,-0.084424,0,4.506265,-0.043173,0,1.729481,1,3.006544,0,3.832077,-0.366386,0,2.116254,0,0.8116726
HUMC7,0,1.981843,-0.658157,-0.665877,0,3.444295,0.029074,0,5.322562,0.002266,0,4.096596346,-0.135593654,0,3.755016,-0.311967,0,4.148231,0.004778,0,0.585865173,0.023301173,0,4.701808,-0.174918,0,1.786192,0,3.594108,-0.30572,0,4.535184,-0.014254,0,1.532285,0,2.535526,0,4.146418,-0.052045,0,1.977771,0,0.7088692
HUMC8,1,2.541721,-0.098279,-0.105999,0,3.095391,-0.31983,0,4.89378,-0.426516,0,3.764787179,-0.467402821,1,4.541222,0.474239,0,3.732839,-0.410614,0,0.375963332,-0.186600668,0,4.398839,-0.477887,0,1.645516,0,3.438183,-0.461645,0,4.492446,-0.056992,0,1.447153,1,2.794776,0,4.111407,-0.087056,0,2.060243,0,1.101763
HUMC9,0,2.490607,-0.149393,-0.157113,0,2.813905,-0.601316,0,5.216886,-0.10341,0,4.001393707,-0.230796293,0,3.337989,-0.728994,0,3.730923,-0.41253,0,0.279644232,-0.282919768,0,4.585873,-0.290853,0,1.885607,0,2.995121,-0.904707,0,4.549438,0,0,1.244236,0,2.523181,0,4.154793,-0.04367,0,2.028603,0,0.752291
HUMC10,0,1.921417,-0.718583,-0.726303,0,2.483343,-0.931878,0,5.320296,0,0,3.71543011,-0.51675989,0,4.934756,0.867773,0,4.087981,-0.055472,0,0.298184216,-0.264379784,0,5.185926,0.3092,0,1.96651,0,3.839613,-0.060215,0,4.084267,-0.465171,0,1.763138,0,2.967589,0,4.55327,0.354807,0,1.453317,0,0.5559387
S06_166,0,2.329643,-0.310357,-0.318077,0,4.026027,0.610806,0,5.61325,0.292954,0,3.616891734,-0.615298266,0,3.334257,-0.732726,0,4.17781,0.034357,0,1.118304181,0.555740181,0,5.926154,1.049428,0,2.959145,0,4.886518,0.98669,0,5.946148,1.39671,1,2.908305,0,3.27164,0,4.086176,-0.112287,0,3.784303,0,1.150478
TMA.8,0,4.698087,2.058087,2.050367,0,2.155275,-1.259946,0,6.153413,0.833117,0,3.50869195,-0.72349805,0,3.824927,-0.242056,0,2.932055,-1.211398,0,0.565898956,0.003334956,0,3.269867,-1.606859,0,2.112774,0,3.543394,-0.356434,0,3.651267,-0.898171,0,1.27647,0,2.996924,0,4.837909,0.639446,0,1.382496,0,0.7672234
WCM032,0,2.781782,0.141782,0.134062,0,2.872137,-0.543084,0,5.309368,-0.010928,0,3.969733866,-0.262456134,0,4.513829,0.446846,0,3.727691,-0.415762,0,0.410606297,-0.151957703,0,4.531395,-0.345331,0,1.97463,0,3.586551,-0.313277,0,4.205545,-0.343893,0,1.787796,0,2.802355,0,4.149103,-0.04936,0,1.516131,0,0.7009405
WCM041,0,2.184141,-0.455859,-0.463579,0,3.26526,-0.149961,0,4.877121,-0.443175,0,3.937056516,-0.295133484,0,3.952936,-0.114047,0,3.682096,-0.461357,0,0.501923773,-0.060640227,0,4.790599,-0.086127,0,1.805954,0,3.921,0.021172,0,4.535557,-0.013881,0,1.471073,0,2.292492,0,4.014762,-0.183701,0,2.007404,0,0.9446096
WCM062,0,1.776394,-0.863606,-0.871326,0,2.930651,-0.48457,0,5.075769,-0.244527,0,4.119691775,-0.112498225,0,4.002005,-0.064978,0,3.990463,-0.15299,0,0.931955621,0.369391621,0,4.880477,0.003751,0,1.536467,0,4.005832,0.106004,0,4.332721,-0.216717,0,1.651675,0,2.524084,0,4.552718,0.354255,0,1.677497,0,0.8204912
1_85,1,1.698552,-0.941448,-0.949168,0,3.535894,0.120673,0,4.85325,-0.467046,0,4.19253737,-0.03965263,0,3.939561,-0.127422,0,4.223656,0.080203,0,0.519127883,-0.043436117,0,4.876726,0,0,1.658481,0,3.91554,0.015712,0,4.431996,-0.117442,0,1.536361,0,2.426228,0,4.276637,0.078174,0,2.150201,0,1.417471
